id,input_type,content,label,scored,difficulty,signal_family,media_file,note
S17,text,Following up as promised 🙂 the crypto group I mentioned is opening a new round. Members averaged 22% last month. No pressure at all — just send me a screenshot when you've deposited and I'll add you to the signals channel.,scam,yes,hard,investment/advance-fee,,"'Pig-butchering' style — polite, patient, explicitly 'no pressure'. Flag is guaranteed returns + pay-to-enter."
S18,voice,"Are you at your desk? I'm in a meeting and can't call. I need you to buy 5 Amazon gift cards of ₹2,000 each for a client gift, urgently. Send me the codes and I'll reimburse you today. — Sent from my iPhone",scam,yes,medium,impersonation/gift-card,audio/S18.wav,Boss-impersonation gift-card scam. 'Can't call' pre-empts verification; codes are untraceable. Cloned-voice case.
S19,voice,"Papa it's me! I'm in big trouble, I can't talk properly, some men took my phone and are asking for ₹30,000 or they won't let me go. Please send it fast to this number, don't call back it's not safe!",scam,yes,easy,emergency/isolation,audio/S19.wav,Kidnap-scam script; 'don't call back' is naked verification-blocking. Emotional cloned-voice demo case.
S20,text,"Amazon: Your order #402-77 has shipped and will arrive tomorrow. Track here: amzn.in/track. Issue? Reply STOP. — If you did not order a ₹54,999 iPhone, cancel immediately at hxxp://amazon-security-cancel[.]info",scam,yes,hard,phishing/panic,,"Genuine-looking shipping notice, then fake big-ticket order triggers panic toward a fraudulent 'cancel' link."
L01,voice,"Hi Ma, reached the hostel safely. Settling in, will video call you after dinner. Love you 💛",legit,yes,easy,family/routine,audio/L01.wav,"No ask, no urgency, no payment. Baseline fine case. Natural-voice recording."
L02,voice,"Mom my card got declined at the pharmacy and I'm short ₹2,000 for the medicines. Can you UPI me on my usual number whenever you get this? Or just call me, I'm right here.",legit,yes,medium,family/emergency,audio/L02.wav,"THE key case. Urgent + money — but no secrecy, known number, invites callback. If flagged, the thesis fails. Natural-voice twin of S01/S19."
L03,text,"Dear Customer, ₹4,999 was debited from your HDFC account ending 4432 for SwiggyIT on 12-Jul. Not you? Call the number on the back of your card. Do not share OTP with anyone.",legit,yes,medium,bank/transactional,,Real bank alert — mentions OTP+money but is informational and tells you NOT to share OTP. Twin of S03/S15.
L04,text,Your Amazon package (Echo Dot) is out for delivery today and will arrive by 7 PM. Track: amzn.in/d/track. No action needed.,legit,yes,medium,delivery/transactional,,Real shipping notice with a real short-link. Twin of S20 minus the panic payload — link-presence ≠ scam.
L05,text,Reminder from Passport Seva: your appointment is on 15-Jul at 10:30 AM at Andheri PSK. Carry original documents. Rescheduling available on passportindia.gov.in.,legit,yes,hard,authority/transactional,,"Government sender + deadline + 'carry documents' — but official .gov.in, no threat, no money, no unverified number. Twin of S04/S05."
L06,text,"Hi, confirming the vendor invoice we discussed in standup is approved — please release payment to Kirloskar's account on file (the usual one). Ping me if finance needs anything. Thanks!",legit,yes,medium,work/payment,,"Real internal payment request — account on file, references a shared meeting, no new details, no rush. Twin of S11."
L07,text,"Yaar are we still on for Saturday? Booked the 6pm show. You can pay me your half whenever, no rush 😄",legit,yes,easy,social/routine,,"Money owed, zero pressure, casual. 'Money mentioned' alone means nothing."
L08,text,Your OTP for Zomato login is 449120. Valid 10 minutes. Do not share this code with anyone.,legit,yes,medium,authority/transactional,,A real OTP the user triggered; message CONTAINS the code and says don't share it. A scam ASKS you to share yours — direction is the distinction. Twin of S16.
L09,text,"Apollo Clinic: appointment with Dr. Mehta confirmed for 14-Jul, 5:00 PM. Reply RESCHEDULE to change. Clinic: 022-XXXXXXX.",legit,yes,easy,authority/transactional,,"Pure normal. Authority-ish sender, a date, but no threat/money/pressure."
L10,text,You've earned ₹150 cashback on your last Amazon Pay transaction. Credited to your Amazon Pay balance — no action needed.,legit,yes,medium,reward/transactional,,"'Congratulations + money' but tiny realistic amount, already credited, no fee/details. Twin of S07."
L11,text,"Hi Suhani, thanks for interviewing — we'd like to move you to the final round. Available Thursday 3 PM? No prep needed. — Priya, TalentBridge HR",legit,yes,medium,job/legit,,"No fee, personalized, references a real interview. A job message isn't a scam by default. Twin of S08."
L12,text,"Hey, bit awkward but rent's due and I'm ₹5k short till salary on the 1st. Any chance you could lend it? Totally fine if not, I'll figure it out — will return first week.",legit,yes,hard,social/money,,"Real money request from a friend — mild urgency, mentions repayment, but zero pressure, known person, invites refusal. 'Someone asking for money' must not auto-flag."
L13,voice,"Beta, your uncle's coming Sunday around 11. Can you pick up some sweets on the way home? Papa says call him when free.",legit,yes,easy,family/routine,audio/L13.wav,Pure normal life. Natural-voice recording.
L14,text,"Your IT refund of ₹15,490 has been credited to your account ending 4432 by CPC Bangalore. — Income Tax Dept via NSDL.",legit,yes,medium,authority/transactional,,"Same refund amount as scam S13 — but no link, no 'verify your account', money already credited. Scam harvests; real one informs."
L15,voice,"Hi, when you get a sec can you send me the Q2 vendor list before the 3pm review? No rush before then. Thanks!",legit,yes,medium,work/routine,audio/L15.wav,"Real work ask — no money, no gift cards, no 'can't call' secrecy. Twin of S18. Natural-voice recording."
L16,text,"Your Tata Power bill of ₹1,340 for June is due 18-Jul. Pay via the Tata Power app or authorized channels. Ignore if already paid.",legit,yes,medium,authority/transactional,,"Real utility bill with a due date — no same-night threat, no personal mobile, points to official app. Direct twin of S04."
L17,text,"Hi it's Ananya from book club! Got a new number, saving you here. Still meeting at the usual cafe Saturday 4pm? Lmk!",legit,yes,easy,social/routine,,"'Save my new number' like the scam — but no money, no urgency, just social coordination. New number alone isn't a red flag. Twin of S02/S16."
L18,voice,"Ma I lost my wallet on the bus, no cash no cards, but I'm safe at the station. Can you send ₹500 to my Paytm so I can get an auto home? Calling you now.",legit,yes,hard,family/emergency,audio/L18.wav,"Second real-emergency case — urgent + money + amount, but 'calling you now' invites verification, known person, small sum, no secrecy. Natural-voice."
L19,text,"Happy birthday!!! 🎉 Hope you have the best day — let's celebrate this weekend, my treat!",legit,yes,easy,social/routine,,'My treat' is money-adjacent but obviously fine.
L20,text,"Hi Suhani, as discussed I've attached the SIP proposal — ₹5,000/month in the index fund we talked about. No hurry, review and we proceed whenever you're comfortable. — Rajesh, Advisor",legit,yes,hard,investment/legit,,"Investment talk like the crypto scam — but standard SIP (no guaranteed returns), registered-advisor context, no pay-to-enter, prior discussion. Twin of S17."
V01,video,"Hi Mom, it's me — I know I look a bit off on this video, bad connection. Listen, I need ₹20,000 urgently, don't tell anyone, send to the number I'll text you.",scam,no,medium,emergency/impersonation,video/V01.mp4,Deepfake video-call emergency scam. Manipulated clip. Not scored; demoed live.
V02,video,"Hey Ma just showing you the new apartment! Everything's great here, will call tonight.",legit,no,easy,family/routine,video/V02.mp4,"Normal video message, no ask. Unmanipulated. Not scored."
V03,video,This is your bank's verification video call. Please confirm your card number and the OTP on your phone now to secure your account.,scam,no,medium,authority/credential,video/V03.mp4,Fake bank video-call requesting OTP/card. Manipulated. Not scored.
V04,video,"Happy anniversary Mummy Papa! Sending lots of love, see you next month.",legit,no,easy,family/routine,video/V04.mp4,Normal celebratory video. Unmanipulated. Not scored.
V05,video,"Team, this is urgent and confidential — process the wire transfer to the account HR will send you. Do not discuss this with anyone else.",scam,no,hard,payment-redirect/BEC,video/V05.mp4,Deepfake-CEO wire-fraud clip. Manipulated. Not scored.
V06,video,"Guys quick update from the trip — reached safe, weather's amazing, more photos tonight!",legit,no,easy,social/routine,video/V06.mp4,"Normal vlog-style clip, no ask. Unmanipulated. Not scored."
V07,video,"I'm stuck abroad and my wallet was stolen, I have no way to pay the hotel — please wire money to this agent so I can get home.",scam,no,medium,emergency/advance-fee,video/V07.mp4,Stranded-traveller scam on video. Manipulated. Not scored.
V08,video,"Hey! Sending this quick vid to invite you — dinner at mine Friday 8pm, bring nothing, just come hungry.",legit,no,easy,social/routine,video/V08.mp4,"Normal invite, no ask. Unmanipulated. Not scored."
V09,video,"This is an official cyber-crime video verification. Stay on this call, do not contact anyone, and confirm your identity to avoid arrest.",scam,no,hard,authority/isolation,video/V09.mp4,'Digital arrest' video variant; blocking verification + isolation. Manipulated. Not scored.
V10,video,Happy birthday!! 🎂 Couldn't be there in person so here's a little video — hope your day is amazing!,legit,no,easy,social/routine,video/V10.mp4,Normal birthday video. Unmanipulated. Not scored.
